2024-05-07 21:12:20 - Node: node7, Replicas: 0
2024-05-07 21:55:21 - Node: node7, Replicas: 4
2024-05-07 21:56:21 - Node: node7, Replicas: 4
2024-05-07 21:57:21 - Node: node7, Replicas: 4
2024-05-07 21:58:21 - Node: node7, Replicas: 4
2024-05-07 21:59:21 - Node: node7, Replicas: 4
2024-05-07 22:00:21 - Node: node7, Replicas: 4
2024-05-07 22:01:21 - Node: node7, Replicas: 4
2024-05-07 22:02:21 - Node: node7, Replicas: 4
2024-05-07 22:03:21 - Node: node7, Replicas: 4
2024-05-07 22:04:21 - Node: node7, Replicas: 4
2024-05-07 22:05:21 - Node: node7, Replicas: 4
2024-05-07 22:06:21 - Node: node7, Replicas: 4
2024-05-07 22:07:21 - Node: node7, Replicas: 4
2024-05-07 22:08:21 - Node: node7, Replicas: 4
2024-05-07 22:09:21 - Node: node7, Replicas: 4
2024-05-07 22:10:21 - Node: node7, Replicas: 5
2024-05-07 22:11:21 - Node: node7, Replicas: 3
2024-05-07 22:12:21 - Node: node7, Replicas: 4
2024-05-07 22:13:21 - Node: node7, Replicas: 6
2024-05-07 22:14:21 - Node: node7, Replicas: 3
2024-05-07 22:15:21 - Node: node7, Replicas: 4
2024-05-07 22:16:21 - Node: node7, Replicas: 5
2024-05-07 22:17:21 - Node: node7, Replicas: 4
2024-05-07 22:18:21 - Node: node7, Replicas: 4
2024-05-07 22:19:21 - Node: node7, Replicas: 4
2024-05-07 22:20:21 - Node: node7, Replicas: 4
2024-05-07 22:21:21 - Node: node7, Replicas: 5
2024-05-07 22:22:21 - Node: node7, Replicas: 4
2024-05-07 22:23:21 - Node: node7, Replicas: 4
2024-05-07 22:24:21 - Node: node7, Replicas: 5
2024-05-07 22:25:21 - Node: node7, Replicas: 4
2024-05-07 22:26:21 - Node: node7, Replicas: 4
2024-05-07 22:27:21 - Node: node7, Replicas: 4
2024-05-07 22:28:21 - Node: node7, Replicas: 6
2024-05-07 22:29:21 - Node: node7, Replicas: 3
2024-05-07 22:30:21 - Node: node7, Replicas: 5
2024-05-07 22:31:21 - Node: node7, Replicas: 5
2024-05-07 22:32:21 - Node: node7, Replicas: 4
2024-05-07 22:33:21 - Node: node7, Replicas: 5
2024-05-07 22:34:21 - Node: node7, Replicas: 5
2024-05-07 22:35:21 - Node: node7, Replicas: 5
2024-05-07 22:36:21 - Node: node7, Replicas: 4
2024-05-07 22:37:21 - Node: node7, Replicas: 5
2024-05-07 22:38:21 - Node: node7, Replicas: 5
2024-05-07 22:39:21 - Node: node7, Replicas: 4
2024-05-07 22:40:21 - Node: node7, Replicas: 6
2024-05-07 22:41:21 - Node: node7, Replicas: 4
2024-05-07 22:42:21 - Node: node7, Replicas: 5
2024-05-07 22:43:21 - Node: node7, Replicas: 5
2024-05-07 22:44:21 - Node: node7, Replicas: 5
2024-05-07 22:45:21 - Node: node7, Replicas: 4
2024-05-07 22:46:21 - Node: node7, Replicas: 6
2024-05-07 22:47:21 - Node: node7, Replicas: 4
2024-05-07 22:48:21 - Node: node7, Replicas: 4
2024-05-07 22:49:21 - Node: node7, Replicas: 5
2024-05-07 22:50:21 - Node: node7, Replicas: 4
2024-05-07 22:51:21 - Node: node7, Replicas: 6
2024-05-07 22:52:21 - Node: node7, Replicas: 4
2024-05-07 22:53:21 - Node: node7, Replicas: 5
2024-05-07 22:54:21 - Node: node7, Replicas: 3
2024-05-07 22:55:21 - Node: node7, Replicas: 5
2024-05-07 22:56:21 - Node: node7, Replicas: 5
2024-05-07 22:57:21 - Node: node7, Replicas: 4
2024-05-07 22:58:21 - Node: node7, Replicas: 5
2024-05-07 22:59:21 - Node: node7, Replicas: 5
2024-05-07 23:00:21 - Node: node7, Replicas: 5
2024-05-07 23:01:21 - Node: node7, Replicas: 4
2024-05-07 23:02:21 - Node: node7, Replicas: 5
2024-05-07 23:03:21 - Node: node7, Replicas: 5
2024-05-07 23:04:21 - Node: node7, Replicas: 5
2024-05-07 23:05:21 - Node: node7, Replicas: 4
2024-05-07 23:06:22 - Node: node7, Replicas: 5
2024-05-07 23:07:22 - Node: node7, Replicas: 5
2024-05-07 23:08:22 - Node: node7, Replicas: 5
2024-05-07 23:09:22 - Node: node7, Replicas: 4
2024-05-07 23:10:22 - Node: node7, Replicas: 5
2024-05-07 23:11:22 - Node: node7, Replicas: 5
2024-05-07 23:12:22 - Node: node7, Replicas: 4
2024-05-07 23:13:22 - Node: node7, Replicas: 4
2024-05-07 23:14:22 - Node: node7, Replicas: 6
2024-05-07 23:15:22 - Node: node7, Replicas: 4
2024-05-07 23:16:22 - Node: node7, Replicas: 6
2024-05-07 23:17:22 - Node: node7, Replicas: 4
2024-05-07 23:18:22 - Node: node7, Replicas: 5
2024-05-07 23:19:22 - Node: node7, Replicas: 5
2024-05-07 23:20:22 - Node: node7, Replicas: 5
2024-05-07 23:21:22 - Node: node7, Replicas: 4
2024-05-07 23:22:22 - Node: node7, Replicas: 6
2024-05-07 23:23:22 - Node: node7, Replicas: 4
2024-05-07 23:24:22 - Node: node7, Replicas: 6
2024-05-07 23:25:22 - Node: node7, Replicas: 4
2024-05-07 23:26:22 - Node: node7, Replicas: 5
2024-05-07 23:27:22 - Node: node7, Replicas: 5
2024-05-07 23:28:22 - Node: node7, Replicas: 4
2024-05-07 23:29:22 - Node: node7, Replicas: 3
2024-05-07 23:30:22 - Node: node7, Replicas: 4
2024-05-07 23:31:22 - Node: node7, Replicas: 4
2024-05-07 23:32:22 - Node: node7, Replicas: 4
2024-05-07 23:33:22 - Node: node7, Replicas: 4
2024-05-07 23:34:22 - Node: node7, Replicas: 4
2024-05-07 23:35:22 - Node: node7, Replicas: 4
2024-05-07 23:36:22 - Node: node7, Replicas: 4
2024-05-07 23:37:22 - Node: node7, Replicas: 4
2024-05-07 23:38:22 - Node: node7, Replicas: 3
2024-05-07 23:39:22 - Node: node7, Replicas: 4
2024-05-07 23:40:22 - Node: node7, Replicas: 5
2024-05-07 23:41:22 - Node: node7, Replicas: 6
2024-05-07 23:42:22 - Node: node7, Replicas: 4
2024-05-07 23:43:22 - Node: node7, Replicas: 4
2024-05-07 23:44:22 - Node: node7, Replicas: 4
2024-05-07 23:45:22 - Node: node7, Replicas: 4
2024-05-07 23:46:22 - Node: node7, Replicas: 4
2024-05-07 23:47:22 - Node: node7, Replicas: 4
2024-05-07 23:48:22 - Node: node7, Replicas: 4
2024-05-07 23:49:22 - Node: node7, Replicas: 4
2024-05-07 23:50:22 - Node: node7, Replicas: 4
2024-05-07 23:51:22 - Node: node7, Replicas: 4
2024-05-07 23:52:22 - Node: node7, Replicas: 4
2024-05-07 23:53:22 - Node: node7, Replicas: 4
2024-05-07 23:54:22 - Node: node7, Replicas: 4
2024-05-07 23:55:22 - Node: node7, Replicas: 4
2024-05-07 23:56:22 - Node: node7, Replicas: 4
2024-05-07 23:57:22 - Node: node7, Replicas: 4
2024-05-07 23:58:22 - Node: node7, Replicas: 4
2024-05-07 23:59:22 - Node: node7, Replicas: 4
2024-05-08 00:00:22 - Node: node7, Replicas: 4
2024-05-08 00:01:22 - Node: node7, Replicas: 4
2024-05-08 00:02:22 - Node: node7, Replicas: 4
2024-05-08 00:03:22 - Node: node7, Replicas: 4
2024-05-08 00:04:22 - Node: node7, Replicas: 4
2024-05-08 00:05:22 - Node: node7, Replicas: 4
2024-05-08 00:06:22 - Node: node7, Replicas: 4
2024-05-08 00:07:22 - Node: node7, Replicas: 4
2024-05-08 00:08:22 - Node: node7, Replicas: 4
2024-05-08 00:09:22 - Node: node7, Replicas: 4
2024-05-08 00:10:22 - Node: node7, Replicas: 4
2024-05-08 00:11:22 - Node: node7, Replicas: 4
2024-05-08 00:12:22 - Node: node7, Replicas: 4
2024-05-08 00:13:22 - Node: node7, Replicas: 4
2024-05-08 00:14:22 - Node: node7, Replicas: 4
2024-05-08 00:15:22 - Node: node7, Replicas: 4
2024-05-08 00:16:22 - Node: node7, Replicas: 4
2024-05-08 00:17:22 - Node: node7, Replicas: 4
2024-05-08 00:18:22 - Node: node7, Replicas: 4
2024-05-08 00:19:22 - Node: node7, Replicas: 4
2024-05-08 00:20:22 - Node: node7, Replicas: 4
2024-05-08 00:21:22 - Node: node7, Replicas: 4
2024-05-08 00:22:22 - Node: node7, Replicas: 4
2024-05-08 00:23:22 - Node: node7, Replicas: 4
2024-05-08 00:24:22 - Node: node7, Replicas: 4
2024-05-08 00:25:22 - Node: node7, Replicas: 4
2024-05-08 00:26:22 - Node: node7, Replicas: 4
2024-05-08 00:27:22 - Node: node7, Replicas: 4
2024-05-08 00:28:22 - Node: node7, Replicas: 4
2024-05-08 00:29:22 - Node: node7, Replicas: 4
2024-05-08 00:30:22 - Node: node7, Replicas: 4
2024-05-08 00:31:22 - Node: node7, Replicas: 4
2024-05-08 00:32:22 - Node: node7, Replicas: 4
2024-05-08 00:33:22 - Node: node7, Replicas: 4
2024-05-08 00:34:22 - Node: node7, Replicas: 4
2024-05-08 00:35:22 - Node: node7, Replicas: 4
2024-05-08 00:36:22 - Node: node7, Replicas: 4
2024-05-08 00:37:22 - Node: node7, Replicas: 4
2024-05-08 00:38:22 - Node: node7, Replicas: 4
2024-05-08 00:39:22 - Node: node7, Replicas: 4
2024-05-08 00:40:22 - Node: node7, Replicas: 4
2024-05-08 00:41:22 - Node: node7, Replicas: 4
2024-05-08 00:42:22 - Node: node7, Replicas: 4
2024-05-08 00:43:22 - Node: node7, Replicas: 4
2024-05-08 00:44:22 - Node: node7, Replicas: 4
2024-05-08 00:45:22 - Node: node7, Replicas: 4
2024-05-08 00:46:22 - Node: node7, Replicas: 4
2024-05-08 00:47:22 - Node: node7, Replicas: 4
2024-05-08 00:48:22 - Node: node7, Replicas: 4
2024-05-08 00:49:22 - Node: node7, Replicas: 4
2024-05-08 00:50:22 - Node: node7, Replicas: 4
2024-05-08 00:51:22 - Node: node7, Replicas: 4
2024-05-08 00:52:22 - Node: node7, Replicas: 4
2024-05-08 00:53:23 - Node: node7, Replicas: 4
2024-05-08 00:54:23 - Node: node7, Replicas: 4
2024-05-08 00:55:23 - Node: node7, Replicas: 4
2024-05-08 00:56:23 - Node: node7, Replicas: 4
2024-05-08 00:57:23 - Node: node7, Replicas: 4
2024-05-08 00:58:23 - Node: node7, Replicas: 4
2024-05-08 00:59:23 - Node: node7, Replicas: 4
2024-05-08 01:00:23 - Node: node7, Replicas: 4
2024-05-08 01:01:23 - Node: node7, Replicas: 4
2024-05-08 01:02:23 - Node: node7, Replicas: 4
2024-05-08 01:03:23 - Node: node7, Replicas: 4
2024-05-08 01:04:23 - Node: node7, Replicas: 4
2024-05-08 01:05:23 - Node: node7, Replicas: 4
2024-05-08 01:06:23 - Node: node7, Replicas: 4
2024-05-08 01:07:23 - Node: node7, Replicas: 4
2024-05-08 01:08:23 - Node: node7, Replicas: 4
2024-05-08 01:09:23 - Node: node7, Replicas: 4
2024-05-08 01:10:25 - Node: node7, Replicas: 4
2024-05-08 01:11:25 - Node: node7, Replicas: 4
2024-05-08 01:12:25 - Node: node7, Replicas: 4
2024-05-08 01:13:25 - Node: node7, Replicas: 4
2024-05-08 01:14:25 - Node: node7, Replicas: 5
2024-05-08 01:15:25 - Node: node7, Replicas: 4
2024-05-08 01:16:25 - Node: node7, Replicas: 3
2024-05-08 01:17:25 - Node: node7, Replicas: 4
2024-05-08 01:18:25 - Node: node7, Replicas: 4
2024-05-08 01:19:25 - Node: node7, Replicas: 4
2024-05-08 01:20:25 - Node: node7, Replicas: 4
2024-05-08 01:21:25 - Node: node7, Replicas: 4
2024-05-08 01:22:25 - Node: node7, Replicas: 4
2024-05-08 01:23:25 - Node: node7, Replicas: 4
2024-05-08 01:24:25 - Node: node7, Replicas: 4
2024-05-08 01:25:25 - Node: node7, Replicas: 0
2024-05-08 01:26:25 - Node: node7, Replicas: 0
2024-05-08 01:27:25 - Node: node7, Replicas: 0
2024-05-08 01:28:25 - Node: node7, Replicas: 0
2024-05-08 01:29:25 - Node: node7, Replicas: 0
2024-05-08 01:30:25 - Node: node7, Replicas: 0
2024-05-08 01:31:25 - Node: node7, Replicas: 0
2024-05-08 01:32:25 - Node: node7, Replicas: 0
2024-05-08 01:33:25 - Node: node7, Replicas: 0
2024-05-08 01:34:25 - Node: node7, Replicas: 0
2024-05-08 01:35:25 - Node: node7, Replicas: 0
2024-05-08 01:36:25 - Node: node7, Replicas: 0
2024-05-08 01:37:25 - Node: node7, Replicas: 0
2024-05-08 01:38:25 - Node: node7, Replicas: 0
2024-05-08 01:39:25 - Node: node7, Replicas: 0
2024-05-08 01:40:25 - Node: node7, Replicas: 0
2024-05-08 01:41:25 - Node: node7, Replicas: 0
2024-05-08 15:12:09 - Node: node7, Replicas: 0
2024-05-08 15:13:09 - Node: node7, Replicas: 0
2024-05-08 15:14:09 - Node: node7, Replicas: 1
2024-07-22 22:18:45 - Node: node7, Replicas: 1
2024-07-22 22:20:44 - Node: node7, Replicas: 1
2024-07-22 22:21:44 - Node: node7, Replicas: 1
2024-07-22 22:22:44 - Node: node7, Replicas: 1
2024-07-22 22:23:28 - Node: node7, Replicas: 1
2024-07-22 22:24:28 - Node: node7, Replicas: 1
2024-07-22 22:25:28 - Node: node7, Replicas: 1
2024-07-24 18:35:03 - Node: node7, Replicas: 0
2024-07-24 18:36:03 - Node: node7, Replicas: 1
2024-07-24 18:37:03 - Node: node7, Replicas: 2
2024-07-31 16:54:47 - Node: node7, Replicas: 2
2024-08-05 14:53:28 - Node: node7, Replicas: 1
2024-08-05 14:54:18 - Node: node7, Replicas: 1
2024-08-05 14:55:18 - Node: node7, Replicas: 1
2024-08-05 14:56:18 - Node: node7, Replicas: 1
2024-08-05 14:57:18 - Node: node7, Replicas: 1
2024-08-05 15:00:44 - Node: node7, Replicas: 2
2024-08-05 15:01:44 - Node: node7, Replicas: 2
2024-08-05 15:02:44 - Node: node7, Replicas: 2
2024-08-05 15:03:44 - Node: node7, Replicas: 2
2024-08-05 15:04:44 - Node: node7, Replicas: 2
2024-08-05 15:05:44 - Node: node7, Replicas: 2
2024-08-05 15:06:44 - Node: node7, Replicas: 2
2024-08-05 15:07:44 - Node: node7, Replicas: 2
2024-08-05 15:08:44 - Node: node7, Replicas: 2
2024-08-05 15:09:44 - Node: node7, Replicas: 2
2024-08-05 15:10:44 - Node: node7, Replicas: 2
2024-08-05 15:11:44 - Node: node7, Replicas: 2
2024-08-05 15:12:44 - Node: node7, Replicas: 2
2024-08-05 15:13:44 - Node: node7, Replicas: 2
2024-08-05 15:14:44 - Node: node7, Replicas: 2
2024-08-05 15:15:44 - Node: node7, Replicas: 2
2024-08-05 15:16:44 - Node: node7, Replicas: 2
2024-08-05 15:17:44 - Node: node7, Replicas: 2
2024-08-05 15:18:44 - Node: node7, Replicas: 2
2024-08-05 15:19:44 - Node: node7, Replicas: 2
2024-08-05 15:20:44 - Node: node7, Replicas: 2
2024-08-05 15:21:44 - Node: node7, Replicas: 2
2024-08-05 15:22:43 - Node: node7, Replicas: 2
2024-08-05 15:23:43 - Node: node7, Replicas: 2
2024-08-05 15:24:43 - Node: node7, Replicas: 2
2024-08-05 15:25:43 - Node: node7, Replicas: 2
2024-08-05 15:26:19 - Node: node7, Replicas: 2
2024-08-05 15:27:19 - Node: node7, Replicas: 2
2024-08-05 15:28:19 - Node: node7, Replicas: 2
2024-08-05 15:29:19 - Node: node7, Replicas: 2
2024-08-05 15:30:19 - Node: node7, Replicas: 2
2024-08-05 15:54:43 - Node: node7, Replicas: 1
